exp_name,task,split,macro_f1,macro_f1,balanced_acc,balanced_acc,roc_auc,roc_auc
,,,mean,std,mean,std,mean,std
transformer_multitask,action,test,0.6016455981351897,0.04740810028080081,0.6111111111111112,0.041724019297621956,0.8748086929905111,0.01350513673493227
transformer_multitask,action,train,0.7275333586263028,0.019820714499744662,0.7341269841269842,0.01924500897298757,0.9340413202317964,0.0130040828182849
transformer_multitask,action,val,0.7537202350374881,0.04092049659940319,0.7623456790123457,0.0374208507808091,0.9482548392013413,0.004812424492417718
transformer_multitask,skill,test,0.8249217364921546,0.042193850892301245,0.8333333333333334,0.036030893808535656,0.9185185185185185,0.018295825361310615
transformer_multitask,skill,train,0.8693996029583205,0.06087290631270154,0.88125,0.05163697623617033,0.9703780864197532,0.010886530842454906
transformer_multitask,skill,val,0.9025576830978688,0.014668780570707045,0.9006944444444445,0.015356489157983318,0.955324074074074,0.027886794179486606
transformer_multitask_no_norm,action,test,0.4984509919325241,0.0544952023032868,0.5075757575757576,0.054629564779757424,0.7908886848280788,0.05463504905615025
transformer_multitask_no_norm,action,train,0.5941256860762775,0.10379394495121826,0.6087301587301587,0.10349157658859068,0.8608062484252961,0.0603822845006746
transformer_multitask_no_norm,action,val,0.5419829250601089,0.11530699498892993,0.5617283950617283,0.11797231391121232,0.8318853833257126,0.06750211910156094
transformer_multitask_no_norm,skill,test,0.764247442688553,0.08523105099639966,0.7680555555555556,0.0871465524558388,0.8264660493827161,0.12347325796803892
transformer_multitask_no_norm,skill,train,0.7573079509152231,0.07701912866617541,0.7608796296296297,0.07599752439383643,0.8412962962962963,0.09837085200493556
transformer_multitask_no_norm,skill,val,0.727614024491925,0.060524807836306906,0.7291666666666666,0.0630531081267565,0.8181712962962963,0.07253731789320524
transformer_multitask_no_velacc,action,test,0.5981149468754006,0.03750553182388918,0.611111111111111,0.03154039393130511,0.86095806550352,0.019104512224628035
transformer_multitask_no_velacc,action,train,0.6759978510945518,0.05682750101687276,0.684920634920635,0.04962063184870033,0.9105190224237844,0.017153029434085587
transformer_multitask_no_velacc,action,val,0.754238293063887,0.06439885198636963,0.7592592592592592,0.057824055540725956,0.9439109891784788,0.012836224037282703
transformer_multitask_no_velacc,skill,test,0.7760044661643773,0.047818558160953054,0.7902777777777777,0.04056411629586173,0.921141975308642,0.010106846599898092
transformer_multitask_no_velacc,skill,train,0.8337427200351976,0.07194934363816358,0.8465277777777778,0.0652445246271835,0.9342206790123457,0.03830963503390739
transformer_multitask_no_velacc,skill,val,0.8912209478361928,0.004707949981841668,0.8944444444444444,0.0024056261216234723,0.9555555555555556,0.008165261122433928
transformer_skill_only,action,test,0.18575880534127265,0.04737692268611254,0.23989898989898992,0.04172401929762198,0.4768390980512192,0.03757046273394811
transformer_skill_only,action,train,0.18610726493019814,0.03819558110940445,0.24206349206349206,0.05001889287805948,0.4888233812043336,0.045821416478740676
transformer_skill_only,action,val,0.1856517858932983,0.07267295892750548,0.2407407407407407,0.09397121819529833,0.4823959762231367,0.035611579201464724
transformer_skill_only,skill,test,0.780913671859147,0.02341675267994078,0.788425925925926,0.013127265628479542,0.8976080246913579,0.017014020113712437
transformer_skill_only,skill,train,0.8751280155820041,0.06402633354840893,0.8874999999999998,0.05765143772365907,0.9698456790123458,0.02231780818507141
transformer_skill_only,skill,val,0.893769779428298,0.019315707642491936,0.8937499999999999,0.018517071702740823,0.9365740740740741,0.027658889097187812
