time_idx,saliency_expert_mean,saliency_beginner_mean
0,0.0015683161,0.0011054934
1,0.00165784,0.0010654224
2,0.0017647722,0.0015747462
3,0.0020938944,0.0018530169
4,0.00197598,0.0026275232
5,0.0020275973,0.0017748547
6,0.001849297,0.0016870593
7,0.0020559023,0.0012472551
8,0.0019094193,0.0014352858
9,0.0019141745,0.0019083607
10,0.0024689534,0.003005144
11,0.0030779538,0.0035114442
12,0.0032579473,0.009482389
13,0.003974169,0.005899218
14,0.003815849,0.0024014956
15,0.0061114104,0.0035535153
16,0.0067031304,0.008394987
17,0.015969703,0.018609561
18,0.01766671,0.016794657
19,0.01717973,0.016086241
20,0.01688371,0.015967619
21,0.021386683,0.012461919
22,0.016601479,0.007974779
23,0.007126723,0.0066848346
24,0.015775101,0.0077442373
25,0.01614825,0.00876597
26,0.027125763,0.014294767
27,0.02969265,0.034714285
28,0.045327056,0.043334708
29,0.033667315,0.033654917
30,0.024662716,0.019449076
31,0.011800377,0.01411368
32,0.0123214265,0.014373926
33,0.007745844,0.014898515
34,0.016380819,0.012894191
35,0.016742928,0.018124243
36,0.01617487,0.024567755
37,0.019313833,0.019681286
38,0.014969876,0.0129706785
39,0.011613017,0.013653055
40,0.01598722,0.015516171
41,0.011351718,0.024167184
42,0.018516878,0.03225758
43,0.030385576,0.04027957
44,0.049852844,0.069766305
45,0.072493054,0.051566172
46,0.044537,0.03430508
47,0.014031961,0.013534324
48,0.0075050816,0.0046819374
49,0.004075807,0.0030506738
50,0.0030493357,0.002245618
51,0.0034562089,0.0029663735
52,0.0054912046,0.0040422543
53,0.009947089,0.009256412
54,0.010875787,0.014205331
55,0.011546198,0.012390732
56,0.007181298,0.0064691487
57,0.004964221,0.004233375
58,0.004447646,0.0032793586
59,0.0043837684,0.003330234
60,0.0055427016,0.004049249
61,0.0070037623,0.004832481
62,0.0065457067,0.0045691384
63,0.0057324474,0.004557896
64,0.006021106,0.00468537
65,0.0069968407,0.0038225227
66,0.0063599306,0.0032368393
67,0.0049207937,0.003110703
68,0.004213222,0.0029530004
69,0.0036840176,0.0026153857
70,0.0034227169,0.002386645
71,0.0035117029,0.0022976457
72,0.004063731,0.0028248595
73,0.005246538,0.0038260315
74,0.0065759574,0.005140962
75,0.006760668,0.0057662004
76,0.0055210902,0.004777423
77,0.0043990426,0.004488231
78,0.0042106365,0.0040808455
79,0.0038136342,0.0032901827
80,0.0029295487,0.0026739598
81,0.0023506768,0.0023765524
82,0.0023724814,0.0025660328
83,0.002399542,0.0025077322
84,0.0025041213,0.0026367863
85,0.0024633002,0.0027799262
86,0.0022361942,0.002681401
87,0.001997351,0.0025452136
88,0.0018168105,0.0023542135
89,0.0017224106,0.0021835088
90,0.001702943,0.0020627216
91,0.0017509464,0.0019754928
92,0.00180065,0.0019115388
93,0.0017949885,0.0018731822
94,0.0018116905,0.0018946494
95,0.001873831,0.0019175175
96,0.0018888195,0.001908528
97,0.0019543036,0.0019346958
98,0.0019473783,0.0019408365
99,0.0019012671,0.0019613847
100,0.0018481162,0.00195201
101,0.0017837507,0.0019226377
102,0.0016763823,0.0018908367
