model,split,macro_f1,balanced_acc,roc_auc
svm_action,train,0.9309735345880013,0.930952380952381,0.9958427815570672
svm_action,val,0.846433369586079,0.8425925925925926,0.9490169181527206
svm_action,test,0.6897101000158788,0.6893939393939393,0.8722069176614631
svm_skill,train,0.9705634987384356,0.9666666666666668,0.9901388888888888
svm_skill,val,0.8681548657132891,0.8666666666666667,0.9079861111111112
svm_skill,test,0.7041209264900281,0.7069444444444444,0.7615740740740741
lstm_action,train,0.3944621050444284,0.4214285714285714,0.6709448223733938
lstm_action,val,0.3390254906383939,0.3981481481481481,0.6401463191586647
lstm_action,test,0.3546350489285272,0.3863636363636363,0.6353688399142945
lstm_skill,train,0.8145376344086022,0.8180555555555555,0.908148148148148
lstm_skill,val,0.8067978533094813,0.8020833333333333,0.8628472222222222
lstm_skill,test,0.7348332663720369,0.7416666666666667,0.8085648148148148
