heldout_subject,skill_label,n_test_seq,macro_f1,balanced_acc
p1,0,12,0.4782608695652174,0.9166666666666666
p10,0,12,1.0,1.0
p11,0,12,1.0,1.0
p12,0,12,0.4285714285714285,0.75
p13,0,12,0.4545454545454545,0.8333333333333334
p14,0,12,0.4782608695652174,0.9166666666666666
p15,0,12,0.4545454545454545,0.8333333333333334
p16,0,12,0.4,0.6666666666666666
p17,0,12,0.4285714285714285,0.75
p18,0,12,1.0,1.0
p19,0,12,0.4545454545454545,0.8333333333333334
p2,0,12,0.4285714285714285,0.75
p20,0,12,1.0,1.0
p21,0,12,0.2,0.25
p22,0,12,0.2941176470588235,0.4166666666666667
p23,0,12,0.3684210526315789,0.5833333333333334
p24,0,12,0.4285714285714285,0.75
p25,0,12,0.2,0.25
p26,0,12,1.0,1.0
p27,0,12,0.4285714285714285,0.75
p28,0,12,0.4545454545454545,0.8333333333333334
p29,0,12,0.3684210526315789,0.5833333333333334
p3,0,12,1.0,1.0
p30,0,12,1.0,1.0
p31,0,12,1.0,1.0
p32,1,12,0.4285714285714285,0.75
p33,1,12,0.4285714285714285,0.75
p34,1,12,0.4545454545454545,0.8333333333333334
p35,1,12,1.0,1.0
p36,1,12,0.4545454545454545,0.8333333333333334
p37,1,12,0.3333333333333333,0.5
p38,1,12,0.4545454545454545,0.8333333333333334
p39,1,12,0.2,0.25
p4,0,12,1.0,1.0
p40,1,12,1.0,1.0
p41,1,12,0.4285714285714285,0.75
p42,1,12,0.3333333333333333,0.5
p43,1,12,1.0,1.0
p44,1,12,0.4782608695652174,0.9166666666666666
p45,1,12,0.4782608695652174,0.9166666666666666
p46,1,12,0.4782608695652174,0.9166666666666666
p47,1,12,1.0,1.0
p48,1,12,0.4,0.6666666666666666
p49,1,12,0.4285714285714285,0.75
p5,0,12,0.4782608695652174,0.9166666666666666
p50,1,12,0.4545454545454545,0.8333333333333334
p51,1,12,0.4285714285714285,0.75
p52,1,12,1.0,1.0
p53,1,12,0.3333333333333333,0.5
p54,1,12,1.0,1.0
p55,1,12,0.4,0.6666666666666666
p6,0,12,0.4545454545454545,0.8333333333333334
p7,0,12,1.0,1.0
p8,0,12,0.3684210526315789,0.5833333333333334
p9,0,12,0.3333333333333333,0.5
